text,grade
" Stunning Transfer ; Decent Story . For those interested in how this looks in high-definition : this is , indeed , one of the best Blu-Ray transfers you 'll see at this point-and-time . I ca n't imagine it getting any sharper . Scene after scene left me amazed at the clarity of the picture . It makes this film fun to watch because the story is pretty good , about a C-plus if I was grading it . The visuals , though , make it a disc to own . What is spectacular is the scenery , some excellent close-ups and overhead shots , and one action scene in particular : a shootout at the Guggenheim Art Museum in New York City that will get your attention ! It reminded me of the dramatic shootout scene in the streets of Los Angeles in the 1995 movie Heat . This scene was just as intense . The sound of all the bullets - and there are hundreds in this scene - going from speaker-to-speaker was very cool , too . The acting here was good , led by Clive Owen and Armin Mueller-Stahl . I do n't think I 've found the latter to be anything less from riveting , no matter what film he 's in . The only flaw I saw was Naomi Watts looking out of place in this story . It would have been a more credible story with her role being filled by another tough guy like the one Owen played here . Whatever , if you want to see just how good a Blu-Ray transfer can look , while getting a decent story with exotic locales and interesting people , check this out . " ,8
" Mindlessly entertaining hokum . Clive Owen , who appears to be on a crusade to beef up his action credentials ever since taking the lead role in 2007s ludicrously violent Shoot 'em up , adds espionage skills to his leading-man repertoire in Tom Tykwer 's globe-trotting thriller The International . His face set in a permanent grimace , Owen plays Interpol agent Louis Salinger who is investigating the murky and potentially criminal activities of an investment bank run by Danish chief executive Jonas Skarssen -LRB- Ulrich Thomsen -RRB- . Accompanied by Naomi Watts , who plays New York 's assistant district attorney , Owen travels between Berlin , Milan , New York and Istanbul to uncover crucial evidence required to convict the nefarious banker for illicit arms-dealing . These urban environments are gorgeously shot by Tykwer , who successfully captures the unique feel and atmosphere of the different cities as well as the sterile coldness of modern corporate buildings . But whilst Tykwer has a good eye for framing the perfect take , he gets little out of his actors and the sub-standard performances jar against the beautifully shot landscapes . Owen , who appeared so versatile in his early roles , is becoming increasingly one-note and in this film he simply reads his lines with little emotion and commitment : even in the most intense action scenes , he appears barely more than mildly annoyed , let alone frightened . Watts is similarly unimpressive , and fails to add an ounce of character to her role . Admittedly , neither actor is helped by the clunky script , which forces the leads to deliver exposition instead of realistic dialogue and which includes such philosophical gems as `` sometimes you find your destiny on the road you took to avoid it '' . Where the film really falls down , however , is with the plot , which asks the audience to buy into the premise that bankers are frighteningly efficient criminal masterminds . In a year that has seen banking profits tumble and financial institutions collapse , it is simply too much to believe that a financier could orchestrate a civil war when it has become obvious that modern bankers can not even balance their own books . The International , with its fantastical plot , wastes what was an opportunity for a timely examination of the failings of modern finance . In an age when business news is hogging the headlines and people are becoming increasingly financially literate , the film offers only superficial insights into the corporate world , which was much better examined by Tony Gilroy in Michael Clayton . Taken simply as Saturday night hokum , however , The International is mindlessly enjoyable , and the exhilarating set-piece gunfight staged in New York 's Guggenheim Museum easily matches anything in the Bourne trilogy and is worth the ticket price alone . " ,4
" an excellent thriller that will be re-watched for years to come . I am shocked at the low average score given for this film . I watched ` The International ' again for the third time , but on this occasion in HI-DEF , and I thoroughly enjoyed it . I even said to my wife , I 'll go on IMDb later , I bet it got a high score , maybe 7.6 -8.0 , shocker , the average rating was in the mid 6 's . I realize that this is an ` old school ' thriller ; clever , attention to detail , good acting and it requires the viewer to have the gray cells working and up to speed . Sure you can watch this film and ` ZONE OUT ' , but it wont make much sense , as the film is driven by the story , not the action . Clive Owen puts on his character like an old leather pair of gloves , and is well supported by Naomi Watts . The story and plot reminded me of The Bourne Identity , because of the various beautiful cities from around the world , in which the many scenes were filmed . Always working together , and the country hoping never felt like it was done just to support the title of the film . Only five minutes into the film , and you can tell you are in for a real treat . If you like cleverly crafted thrillers , ` old school ' style , you wont be disappointed with ` the International ' . " ,8
" If you like detective mysteries , you will love this ! . I vaguely remember the trailers for this movie . I remember being interested at the action and wanted to watch something fun . Instead , I got something meaningful and a great-quality film . It starts out as a whodunnit and progresses into a story that demands change . It 's definitely not an action movie , but it has enough to keep the action lovers entertained . It has a really good pace and if you like mysteries , you will love this movie . Clive Owen does a good job as usual . Naomi Watts is also good . In hindsight , I think this movie is underrated here on IMDb . I really enjoyed the film and gave it a 9 , but I 'm surprised it received anything less than a 7.5 There was not a single point in which I was either bored or irritated with the movie . If you did n't watch it on big-screen , it 's worth more than a Red-Box ! " ,9
" IMO , Armin Mueller-Stahl has the best line in the movie ... . I tuned in on The International surfing the movie channels . I caught the last hour , maybe a little less . The photography was great . I thought the shoot-em-up in the museum was gratuitous . The European weapons exec who explained the meaning of global debt was a strong character . I hoped to see more of him . The time taken to destroy the museum could have been better spent developing the strong timely topics opened by the overall content of the piece . I was REALLY disappointed when the museum got trashed . Such events are too unusual and horrific to be as commonplace as such events are in contemporary movie-making . Trash the house , trash the school , trash the mall , trash the museum , trash the world . I was disappointed because the storyline had such great potential and the photography throughout the movie was so beautiful . I felt as tho I 'd been snookered into watching the same-ol-same-ol shoot 'em up just when I thought I was in for a real treat . I hung in and watched to the end mainly because of Armin Mueller-Stahl 's character . I was hooked when Mr. Stahl looked at Clive Owen during their one-on-one scene and said , Mr. Salinger , the difference between truth and fiction is that fiction has to make sense . I hoped for more lines like that one but no cigar ! I 'm the one you burn was a slick ad-copy line . Nevertheless I will remember the truth-fiction scene and line for the rest of my life . As far as I 'm concerned -LRB- not far ! -RRB- Mr. Singer , Mr. Tykwer , Mr. Owen and Mr. Mueller-Stahl earned their paychecks for the whole movie in that one scene . Thanks for making The International and telling the truth about fiction . " ,7
" A little underestimated actionthriller . Recap : IBBC are a highly exclusive bank operating out of Luxembourg . But beneath the luxurious surface there is a dark and murky organization working in illegal weapons , overthrowing governments and controlling international conflicts . And it is brutal about removing any threats , interior or exterior both . Salinger out of Interpol and Whitmore of NY DA office has been on IBBC 's tail for long , and are finally getting close . But their agent , and their contact are both murdered , and it is evident that many national police organizations are influenced by IBBC . But Salinger and Whitmore are persistent , in a time when IBBC are just about to close an important weapons deal . They ca n't afford the distraction , and Salinger is suddenly a target . But in a world where anyone can be turned , can Salinger stop IBBC ? Comments : A very good thriller with plentiful of action , spearheaded by Cliwe Owen and Naomi Watts . The acting is good although what matters most , as always , is the story . Running at almost two hours , it does go about rather quickly . Set in places all over Europe , and New York , scenery and settings are always changing . What 's more important is that the story is always working , always developing a little , always taking a step in the right direction to keep interest . The bad guys are identified early , so there are no real surprises along the way . But do n't get the idea that you know what will happen , it might just not take the route you 're expecting . And that 's why it is worth to keep watching , that 's why it is very entertaining . Not to forget that there are some real nice shoot outs in there . Especially the scene at the Guggenheim are spectacular . And although the action is good , to me it only augmented the story . This is a crime thriller first and action second . It is really good at slowly building momentum , increasing the suspense step by step as it goes . Therefore it is disappointing that the end is so short and abrupt , something of an anticlimax if you like . It does fit the story , actually the end in one way confirms the entire movie , if you keep reading the headlines at the start of the credits . But I was hoping for more after the Guggenheim scene , or at least some sort of conclusion . Now it is not bad , but it was very open , almost leaving an opening for an sequel . In my opinion , this is a movie that would have benefited more from a real end . Still , even after a little low key end , leaving me wishing for a little more , I think it was a real good movie . But with a better end , it might have got one step higher on the rating . 7\/10 " ,7
" a nice throwback to an earlier type of spy film . Those in the market for a solid , old-fashioned spy thriller need look no further than The International , a movie that hearkens back , in tone and style , to those post-Bond Harry Palmer films -LRB- The Ipcress File , Funeral in Berlin -RRB- from the 1960s . Here , Clive Owen plays Louis Salinger , an Interpol agent who 's teamed up with Eleanor Whitman -LRB- Naomi Watts -RRB- , an assistant district attorney of the city of New York , to help bring down a major bank they suspect of brokering arms to terrorists . When one of his fellow agents is assassinated , Salinger sprints into action , even though , technically , he has no real authority to apprehend the bad guys . Complex , serious and swarming with red herrings , The International is one of those movies where they throw terms like file and dossier around with gleeful abandon - and we relish every minute of it . In addition , it comes replete with all the shady characters , covert encounters and glamorous international settings -LRB- Berlin , Lyon , Istanbul , etc. -RRB- we 've come to expect in our secret agent thrillers . Excellent action sequences , including a spectacular shootout at the Guggenheim Museum in Manhattan , add to the movie 's effectiveness . " ,7
" Breath of fresh air . The world we live in makes us rethink the things we took for granted . Who are the real gangsters ? The desperate , impoverished , uneducated who lash at the people not unlike themselves or the greedy , cruel , powerful paragons of respectability . We are all witnessing the crippling economic crisis caused by the uncontrollable want for more and more . This movie somewhat predicted the things to came . It took me by surprise that average rate for this excellent thriller was only 6.6 . As usual , the average movie viewer found the lack of neatly wrapped ending , depressing . Ergo he could n't award such a downer with the more appropriate rating . This strong , compelling movie is a breath of fresh air in the fetid waters of Hollywood movie-making . " ,9
" IQ : required . Heart : required . Bible : recommended . Watch The International . . First tip : this is much better than its ratings around here in IMDb . So for the record , if you have n't seen it yet , do n't be turned off by 6.6 \/ 10 . Go check it out first . Second tip : this review got some major spoilers . At the dawn of finally digging up bad deeds of a monster called IBBC -LRB- an international bank -RRB- , veteran interpol Louis Salinger had to witness his partner 's murder a few yards away , by a mysterious poison needle from nowhere . A few days later , their secret informer who wanted to contact interpol but got a cold feet also died in a car sinked to the bottom of a river . Datamining had been blocked by an invisible hand which seems to be manipulating all stakeholders . A prospective meeting had also ended up another political assassination . Salinger vowed to not to give up . Determined to bring justice to this infamous organization , Salinger teamed up with anyone who 's willing to help to follow the only lead -- the professional hit-man who slipped every time . When one of the shadowy conspirators was finally in Salinger 's interrogation room , will he accept the truth that there 's no way to simply bring down this enormous monster ? The international is a mind-bending movie . You definitely need your brain to follow the story as a load of tight events happened in 2 hours . The movie 's not about a lot of ambiguous , lame conversations implying who 's truly evil or righteous . The movie , in my opinion , is about interception and clashing of mindsets . Audiences , like the leading character , desire justice after they witness mayhem from time to time . Though totally anger-charged and compulsive at times , Salinger believed in interpol 's justice , that is , justice in procedure and result , that 's also the justice of pure black and white , with no gray area allowed . Gradully , Salinger got derailed from this while knight logic because as IBBC wrecks havocs , kills dozens of pedestrians every time he pushed the investigation , the marks on his soul , the deaths of friends , companions had broken him . Even the supporting local cop told him , do n't let them escape this time , or my partner would have died in vain . That is , as he takes this more and more personal , the story led everyone to a rule-bending conversation between Salinger and conspirator Wexler . In this conversation , Wexler told our hero that the world ca n't get rid of IBBC simply because every country needs it . The difference between truth and fiction is that fiction has to make sense . Wexler told Salinger and us . Proactive thinkers may already got the message behind , that there are maybe hundreds of dirty corporations like IBBC in our reality , yet we do n't want to bring them down because they happen to be the ones that connects , vitalizes , wraps up the whole world . However , the crusader mindset of Salinger and drifter-in-the-sins mindset of Wexler had to make a compromise to prevent holocaust . And , they made this compromise . This essentially led to the introduction of another mindset not yet revealed -- the mafia mindset and its own justice and order . See , the mafia does n't pursue white knights ' vision of justice , yet they do n't give a crap about power balance which guys like Wexler would care about . They just deliver retribution in a surgery-efficient way . The movie 's climax had Salinger eavesdropping on a key conversation which supposedly could bring down IBBC 's core players , but who got faster than Salinger was the Italian hit-man , who Salinger had invited after he decided not to pursue the impossible mission and to go on with punishing key persons instead . The hit-man sent by Italian mafia wrapped up the situation by killing all the IBBC 's top management and said thank you to Salinger , leaving the later to use all the time he has wondering where is the true justice . Then the movie ends . If you noticed , the movie begins and ends with successful assassinations . OK , so far if you watched the movie the way I did , like I just showed you , you might be quite upset or depressed by now . However , you may also have noticed in my title of review I said Bible : recommended . That 's right . The clarity provided in Bible might be an answer , if you ca n't accept the answer The International gave you . We 've learned in the Bible that humans ' nature to sin is not only in every single person , but also in the whole human race . So , it is true we were born to a dirty world where we have come to find out nobody can be totally innocent just like everyone 's connection to the IBBC . Salinger 's mandate to eliminate injustice single-handedly is heroic , yet it 's not what Jesus tell his followers to do . In Jesus ' way , triumphing over injustice is to simply turn away from the worldly ways , and turn to Jesus , or stop hoping for what the world has to offer you and start believing Jesus and his way . Saint Paul said , count yourselves dead to sin but alive to God in Jesus Christ . -LRB- Romans 6:11 -RRB- Striving to find an ace in the hole from the world , Salinger found mafia and their way , their truth , and also their sins to bear . My suggestion for him , however , is to simply go with the legal procedure and face death , not with no fear , but with a determination to truly defy this sinful world 's rules and ready to go beyond . " ,8
" Money is war . In the midst of the financial meltdown , here comes a crime story that has a very unique culprit as its driving force , namely an international bank -LRB- whence its title ! -RRB- that has its tentacles in every bloody world conflict , which is in fact a sort of a semi-legitimate way for the global crime brotherhood to launder its money and , at the same time , to strike another business regardless of color of skin , religion , ideology or social stratum , where all of these ` reasons ` are only a fodder for the masses to be deceived through the mass media , while the business goes on smoothly . Or in the words of one of the protagonists This bank does not thrive on the conflict as such , it creates it , but then it thrives on the debt as the consequence of some senseless -LRB- African , yes , a colonel again appears ! -RRB- war , as it can never be repaid ! The acting is superb , suffice to say that this film has Mr C. Owen as the main hero , and films with him have so far been a real eye candy for me -LRB- see - Closer , Bourne Identity -RRB- , while the supporting cast is also on par -LRB- specially E.M. Stahl as a former Stasi agent now working as a lawyer for this hydra , N. Watts as a relentless FBI agent bent on blowing this whole affair up no matter what -RRB- , locales are to a great extent European , and every other camera trick so typical of Mr T.Tykwer is here -LRB- do not miss my favorite , namely , the showdown at the Guggenheim museum of Modern Art no less ! -RRB- . And to make the whole story even more conspiratorially real it is partly based on the shenanigans of an international bank named BCCI in the mid 80s " ,7
" An entertaining thriller for 2009 . . Some compare The International to James Bond and Jason Bourne films , but I 'd compare it to thrillers of yesterday like North by Northwest -LRB- 1959 -RRB- , and Three Days of the Condor -LRB- 1975 -RRB- . It has the same amount of tension though did . Not really intense action , but a good tension grabber . It does slow down in spots , but it picks up and grabs your interest . The story is about two Interpol agents -LRB- Clive Owen and Naomi Watts -RRB- , who are investigating a certain bank , that has accused of money laundering , making illegal deals . This bank has more power than the mafia , cause if anybody tried to expose this bank , they vanish without a trace . Can these two Interpol agents race against time to get evidence , before it 's too late . Clive Owen and Naomi Watts are pretty effective in there roles . Although entertaining , but do n't count on it being another Bond or Bourne . " ,8
" Just saw it great film ! . Just saw it great film . The International is about a bank which uses illegal methods for their investments . Resonates well with the audience after the banking crisis . Well written , directed and acted . One of Owens best performances to date . Watts had a strong supporting role . I would buy the blue ray for The International . I give the movie 8 dollars out of 10 . The movie makes me wonder what do the banks invest in which we have no idea about ? The ending of the movie asks these questions . Watch the ending credits . I would watch this film again . One of the best gun battles I have ever seen in a movie . The gun battle alone is worth the 8 $ . " ,8
" A Good Intense Thriller . . A thriller that will keep you seated . It 's said that money is the route of all problems and this intense thriller just goes on to show that . But everyone needs money to survive but unfortunately some misuse this to create problems . An Interpol agent 's partner is mysteriously killed after approaching a man , who he claims will be an informant who can assist in bringing down an International Financial institution , which is involved in purchase of Nuclear weapons and instigating coup in a third world country . Starring Clive Owen , Naomi Watts , Armin Mueller-Stahl , Ulrich Thomsen , this thriller genre movie is directed by Tom Tykwer and is written by Eric Singer . Its interesting to know what one is capable of doing when they have backing such as a financial institution to use money in whatever way they want and Tom Tykwer and the writer , Eric Singer , have portrayed this very well in this intense thriller . In the 1978 movie , `` The Wild Geese , which starred Roger Moore , Richard Burton and Richard Harris , Hardy Kruger , Stewart Granger and Jack Watson , a bunch of mercenaries are hired to over throw a dictator , who are supported by people with money . In this it is an Financial institution whose members will got to any length to stop investigation into its operations and this means hiring hit men to remove those who they consider to be a threat . A interesting concept , which takes one on a global spree and at the same time keeping the audience interested . This is a movie that is definitely worth watching . " ,9
